Date,Open,High,Low,Close,Adj Close,Volume
1994-03-28,4.03125,4.03125,4.0,4.0,2.921046733856201,15200
1994-03-29,3.96875,3.96875,3.9375,3.9375,2.8754050731658936,24000
1994-03-30,3.84375,3.84375,3.71875,3.765625,2.7498910427093506,121600
1994-03-31,3.71875,3.734375,3.625,3.734375,2.7270703315734863,102400
1994-04-04,3.703125,3.703125,3.640625,3.671875,2.6814286708831787,28800
1994-04-05,3.6875,3.796875,3.625,3.796875,2.772712230682373,128000
1994-04-06,3.8125,3.84375,3.8125,3.8125,2.7841224670410156,532000
1994-04-07,3.875,3.953125,3.875,3.9375,2.8754050731658936,840800
1994-04-08,3.953125,3.953125,3.875,3.875,2.829763412475586,129600
1994-04-11,3.84375,3.859375,3.828125,3.828125,2.7955334186553955,32000
1994-04-12,3.765625,3.765625,3.71875,3.71875,2.715660572052002,108000
1994-04-13,3.6875,3.6875,3.625,3.625,2.647198438644409,41600
1994-04-14,3.578125,3.59375,3.578125,3.59375,2.624377727508545,72800
1994-04-15,3.5625,3.5625,3.484375,3.484375,2.5445046424865723,130400
1994-04-18,3.484375,3.5,3.4375,3.4375,2.5102734565734863,120000
1994-04-19,3.3125,3.3125,3.1875,3.1875,2.3277084827423096,196800
1994-04-20,3.1875,3.1875,3.03125,3.09375,2.259246587753296,998400
1994-04-21,3.125,3.21875,3.125,3.21875,2.350529670715332,159200
1994-04-22,3.25,3.25,3.234375,3.234375,2.3619425296783447,599200
1994-04-25,3.25,3.25,3.234375,3.25,2.373350143432617,292000
1994-04-26,3.234375,3.28125,3.234375,3.28125,2.4100756645202637,77600
1994-04-28,3.34375,3.375,3.34375,3.375,2.4789345264434814,91200
1994-04-29,3.34375,3.375,3.25,3.28125,2.4100756645202637,539200
1994-05-02,3.25,3.25,3.1875,3.1875,2.341216802597046,27200
1994-05-03,3.1875,3.21875,3.1875,3.21875,2.3641693592071533,31200
1994-05-04,3.234375,3.28125,3.234375,3.28125,2.4100756645202637,23200
1994-05-05,3.296875,3.3125,3.296875,3.3125,2.4330286979675293,4800
1994-05-06,3.3125,3.3125,3.234375,3.25,2.38712215423584,36800
1994-05-09,3.28125,3.296875,3.265625,3.296875,2.4215519428253174,11200
1994-05-10,3.328125,3.328125,3.328125,3.328125,2.444504976272583,17600
1994-05-11,3.328125,3.328125,3.28125,3.296875,2.4215519428253174,8800
1994-05-12,3.296875,3.296875,3.296875,3.296875,2.4215519428253174,12000
1994-05-13,3.265625,3.265625,3.203125,3.21875,2.3641693592071533,52800
1994-05-16,3.234375,3.234375,3.234375,3.234375,2.3756470680236816,5600
1994-05-17,3.203125,3.21875,3.1875,3.21875,2.3641693592071533,117600
1994-05-18,3.1875,3.234375,3.1875,3.234375,2.3756470680236816,29600
1994-05-19,3.203125,3.203125,3.1875,3.1875,2.341216802597046,10400
1994-05-20,3.171875,3.171875,3.125,3.125,2.2953100204467773,49600
1994-05-23,3.078125,3.078125,3.046875,3.046875,2.2379279136657715,88000
1994-05-24,3.03125,3.03125,3.015625,3.015625,2.2149734497070312,18400
1994-05-25,3.0,3.0,3.0,3.0,2.2034976482391357,692000
1994-05-26,2.96875,3.15625,2.96875,3.125,2.2953100204467773,2219200
1994-05-27,3.125,3.140625,3.109375,3.109375,2.283832550048828,137600
1994-05-31,3.09375,3.09375,3.046875,3.046875,2.2379279136657715,47200
1994-06-01,3.03125,3.03125,2.921875,2.96875,2.180544137954712,278400
1994-06-02,2.984375,2.984375,2.9375,2.9375,2.1575915813446045,408800
1994-06-03,2.953125,2.953125,2.9375,2.953125,2.1690673828125,144800
1994-06-06,2.921875,2.984375,2.921875,2.953125,2.1690673828125,408000
1994-06-07,2.984375,2.984375,2.96875,2.96875,2.180544137954712,36800
1994-06-08,2.953125,2.96875,2.953125,2.96875,2.180544137954712,150400
1994-06-09,2.953125,2.953125,2.921875,2.921875,2.1461143493652344,342400
1994-06-10,2.921875,2.9375,2.921875,2.9375,2.1575915813446045,28800
1994-06-13,2.953125,2.953125,2.921875,2.9375,2.1575915813446045,51200
1994-06-14,2.921875,2.9375,2.921875,2.9375,2.1575915813446045,525600
1994-06-15,2.9375,2.96875,2.9375,2.96875,2.180544137954712,440800
1994-06-16,2.96875,2.96875,2.921875,2.921875,2.1461143493652344,29600
1994-06-17,2.953125,3.015625,2.953125,3.0,2.2034976482391357,691200
1994-06-20,3.015625,3.03125,2.984375,2.984375,2.1920223236083984,74400
1994-06-21,2.953125,2.96875,2.9375,2.9375,2.1575915813446045,61600
1994-06-22,2.96875,2.984375,2.9375,2.9375,2.1575915813446045,1308000
1994-06-23,2.921875,2.921875,2.875,2.90625,2.1346383094787598,1070400
1994-06-24,2.90625,2.90625,2.875,2.890625,2.123161554336548,59200
1994-06-27,2.890625,2.890625,2.875,2.875,2.1116855144500732,27200
1994-06-28,2.875,2.875,2.859375,2.859375,2.100208282470703,106400
1994-06-29,2.875,2.875,2.828125,2.859375,2.100208282470703,259200
1994-06-30,2.84375,2.859375,2.828125,2.828125,2.077254056930542,88000
1994-07-01,2.828125,2.84375,2.828125,2.828125,2.077254056930542,175200
1994-07-05,2.84375,2.859375,2.828125,2.828125,2.077254056930542,427200
1994-07-06,2.921875,3.125,2.90625,3.125,2.2953100204467773,973600
1994-07-07,3.09375,3.21875,3.09375,3.1875,2.341216802597046,425600
